,企业名称,被投资企业名称,投资比例
0,汕头市美祺实业有限公司,汕头市骏荣汽车销售服务有限公司,100%
1,汕头市美祺实业有限公司,广东骏荣汽车维修有限公司,100%
2,汕头市美祺实业有限公司,汕头潮阳骏荣汽车销售服务有限公司,100%
3,汕头市美祺实业有限公司,汕尾骏荣汽车销售服务有限公司,100%
4,汕头市美祺实业有限公司,潮州骏荣汽车销售服务有限公司,100%
5,汕头市美祺实业有限公司,普宁骏荣汽车销售服务有限公司,100%
6,汕头市美祺实业有限公司,梅州骏荣汽车销售服务有限公司,100%
7,汕头市美祺实业有限公司,揭阳骏荣汽车销售服务有限公司,100%
8,汕头市美祺实业有限公司,广东骏荣贸易有限公司,100%
9,汕头市美祺实业有限公司,梅州悦荣企业管理有限公司,100%
10,汕头市美祺实业有限公司,广东骏荣投资有限公司,100%
0,汕头市自来水总公司,汕头市润源物业管理有限公司,100%
0,汕头自行车厂,汕头市腾达商贸有限公司,90%
0,汕头市航运总公司船舶修造厂,汕头市航运船舶服务公司,100%
0,汕头市茂发食品有限公司,汕头市茂发食品技术研究院有限公司,100%
0,汕头市莲娜姬护肤品有限公司,汕头市万邦实业（集团）有限公司,22.3072%
0,汕头超声印制板公司,上海合颖实业有限公司,20%
0,汕头轻工机械厂有限公司,汕头市轻兴食品机械有限公司,100%
1,汕头轻工机械厂有限公司,汕头高新区锋和焊接机器人有限公司,40%
2,汕头轻工机械厂有限公司,广东广康包装科技股份有限公司,44%
3,汕头轻工机械厂有限公司,汕头市企联轻工装备有限公司,17.5%
4,汕头轻工机械厂有限公司,汕头轻机罐头机械有限公司,100%
0,汕头市进德兴实业有限公司,广东智联兴精密科技有限公司,78%
0,汕头市金光高科有限公司,浙江金光高科新材料有限公司,100%
1,汕头市金光高科有限公司,山东金光高科新材料有限公司,100%
2,汕头市金光高科有限公司,抚州市源光科技有限公司,100%
3,汕头市金光高科有限公司,江西金光高科有限公司,100%
0,汕头市金时印刷有限公司,深圳金实投资有限公司,40%
1,汕头市金时印刷有限公司,湖南金时投资有限公司,100%
2,汕头市金时印刷有限公司,成都众成博瑞商务信息咨询有限公司,30%
3,汕头市金时印刷有限公司,东山金时房地产有限公司,100%
0,汕头市鑫谷实业有限公司,广东澄海农村商业银行股份有限公司,0.75949%
0,汕头市韩江机械厂,汕头市信荣房地产开发有限公司,100%
1,汕头市韩江机械厂,汕头市盛达汽车销售服务有限公司,100%
0,汕头市飘影洗涤用品有限公司,汕头工业设计城运营有限公司,35%
0,汕头高新区金霖织绣有限公司,汕头市润华房地产开发有限公司,33.38006%
0,汕头市龙华珠光颜料有限公司,汕头市龙骅材料技术有限公司,100%
0,汕头市龙湖区锦华磁带厂有限公司,汕头市天时包装有限公司,50%
0,汕尾市五丰水产食品有限公司,五丰农业科技（海丰）有限公司,30%
1,汕尾市五丰水产食品有限公司,汕尾市丰华股权投资中心（有限合伙）,30%
2,汕尾市五丰水产食品有限公司,五丰华源科技（海丰）有限公司,21%
3,汕尾市五丰水产食品有限公司,汕尾市五丰农业科技投资有限公司,50%
0,汕尾市国泰食品有限公司,广东粤农龙企投资控股有限公司,15%
1,汕尾市国泰食品有限公司,陆河国泰青梅产业发展有限公司,36%
2,汕尾市国泰食品有限公司,深圳深汕特别合作区汇创海洋科技有限公司,100%
0,汝南县天中酒业有限公司,汝南县天中酒业销售有限公司,100%
1,汝南县天中酒业有限公司,汝南县春秋商贸有限公司,100%
0,汝南县广源车辆有限公司,汝南县广源农机有限公司,96%
1,汝南县广源车辆有限公司,汝南冠生园食品有限公司,70%
0,汝城县乐施水泥有限公司,汝城县华信小额贷款有限公司,30%
0,汝城县水电有限公司,汝城县官溪旅游开发有限公司,100%
1,汝城县水电有限公司,汝城县益将林场有限责任公司,100%
2,汝城县水电有限公司,汝城县绿能小水电投资开发有限公司,100%
3,汝城县水电有限公司,汝城县文明水库有限责任公司,100%
4,汝城县水电有限公司,汝城县永山生态林业有限公司,100%
5,汝城县水电有限公司,汝城县园河电力有限公司,100%
6,汝城县水电有限公司,汝城县暖水林场有限责任公司,100%
7,汝城县水电有限公司,汝城县官溪建设投资开发有限公司,100%
8,汝城县水电有限公司,汝城县龙虎洞水库有限责任公司,100%
9,汝城县水电有限公司,汝城县大坪林场有限责任公司,100%
10,汝城县水电有限公司,汝城县万年桥水电有限责任公司,43.7%
11,汝城县水电有限公司,开元汝城投资有限公司,14.13043%
12,汝城县水电有限公司,郴州九节带水电有限公司,20%
13,汝城县水电有限公司,汝城县民用爆破器材专营有限责任公司,60.28169%
14,汝城县水电有限公司,汝城县富民光能扶贫有限公司,8.20345%
15,汝城县水电有限公司,湖南郴电国际发展股份有限公司,7.88%
16,汝城县水电有限公司,湖南汝城新阳村镇银行股份有限公司,10%
17,汝城县水电有限公司,汝城县麻仔潭联营电站,54%
18,汝城县水电有限公司,汝城官溪山庄有限责任公司,100%
19,汝城县水电有限公司,汝城县龙虎洞水库有限责任公司,100%
20,汝城县水电有限公司,湖南汝城农村商业银行股份有限公司,4.5%
21,汝城县水电有限公司,湖南暖水温泉开发有限公司,1%
22,汝城县水电有限公司,湖南永兴农村商业银行股份有限公司,-
0,汝州市汝丰焦化有限公司,河南汝州农村商业银行股份有限公司,-
1,汝州市汝丰焦化有限公司,河南省丰源典当有限公司,41%
2,汝州市汝丰焦化有限公司,汝州玉川村镇银行股份有限公司,4.57457%
3,汝州市汝丰焦化有限公司,河南舞钢农村商业银行股份有限公司,-
4,汝州市汝丰焦化有限公司,河南平煤神马汝丰炭材料科技有限公司,30%
0,江中药业股份有限公司,江西江中医药贸易有限责任公司,99.71429%
1,江中药业股份有限公司,宁夏朴卡酒业有限公司,100%
2,江中药业股份有限公司,江西南昌济生制药有限责任公司,51.00041%
3,江中药业股份有限公司,江西南昌桑海制药有限责任公司,51.00441%
4,江中药业股份有限公司,上海江中电子商务有限责任公司,100%
5,江中药业股份有限公司,江西本草天工科技有限责任公司,40%
6,江中药业股份有限公司,北京正旦国际科技有限责任公司,25.70566%
7,江中药业股份有限公司,青海银行股份有限公司,-
8,江中药业股份有限公司,晋城海斯制药有限公司,51%
0,江南造船（集团）有限公司,江南造船集团（上海）房地产开发经营有限公司,100%
1,江南造船（集团）有限公司,上海中船文化传媒有限责任公司,100%
2,江南造船（集团）有限公司,上海芮江实业有限公司,100%
3,江南造船（集团）有限公司,江南重工有限公司,100%
4,江南造船（集团）有限公司,上海江南计量检测站有限公司,100%
5,江南造船（集团）有限公司,中核海洋核动力发展有限公司,10%
6,江南造船（集团）有限公司,上海长兴海洋装备产业基地开发有限公司,4.8%
7,江南造船（集团）有限公司,上海卢浦大桥投资发展有限公司,20%
8,江南造船（集团）有限公司,上海江南造船企业发展有限公司,20%
9,江南造船（集团）有限公司,中船科技股份有限公司,3.9%
10,江南造船（集团）有限公司,中国船舶集团海舟系统技术有限公司,6%
