,企业名称,被投资企业名称,投资比例
0,衢州市自来水总公司,浙江衢州华水有限公司,1.28%
1,衢州市自来水总公司,浙江衢州水业集团环境科技有限公司,100%
2,衢州市自来水总公司,衢州市扬清环保科技有限公司,100%
3,衢州市自来水总公司,衢州市清泉物资有限公司,100%
4,衢州市自来水总公司,浙江衢州水业集团排水有限公司,100%
5,衢州市自来水总公司,衢州市城建再生资源利用有限公司,66%
0,衣恋时装（上海）有限公司,上海衣讯实业有限公司,100%
1,衣恋时装（上海）有限公司,西安衣念商贸有限公司,100%
2,衣恋时装（上海）有限公司,上海尚讯商务咨询有限公司,100%
3,衣恋时装（上海）有限公司,西安衣恋贸易有限公司,100%
4,衣恋时装（上海）有限公司,北京衣恋阳光商贸有限公司,100%
5,衣恋时装（上海）有限公司,深圳衣恋商贸有限公司,100%
6,衣恋时装（上海）有限公司,北京衣念阳光商贸有限公司,100%
7,衣恋时装（上海）有限公司,成都衣念商贸有限公司,100%
8,衣恋时装（上海）有限公司,成都衣恋商贸有限公司,100%
9,衣恋时装（上海）有限公司,上海衣恋实业有限公司,100%
10,衣恋时装（上海）有限公司,衣恋（上海）国际旅行社有限公司,100%
11,衣恋时装（上海）有限公司,深圳衣念商贸有限公司,100%
12,衣恋时装（上海）有限公司,迪柯制衣（上海）有限公司,97.32143%
13,衣恋时装（上海）有限公司,桂林衣恋大饭店有限公司,90%
0,裕亿纸品（深圳）有限公司,深圳骏裕新产业开发有限公司,60%
0,裕富宝厨具设备（深圳）有限公司,建宏（深圳）科技实业有限公司,20%
0,裕廊科技（苏州）有限公司,华冈智能科技（东莞）有限公司,50%
0,裕晟（昆山）体育用品有限公司,昆山泰崧精品贸易有限公司,47.16981%
1,裕晟（昆山）体育用品有限公司,昆山宝唯信息科技有限公司,100%
0,裕荣昌轻工制品（深圳）有限公司,东莞市裕昌实业有限公司,100%
1,裕荣昌轻工制品（深圳）有限公司,汕头市裕荣昌轻工制品有限公司,100%
0,裕鸽电器（深圳）有限公司,东莞市康福特宝家用电器有限责任公司,100%
0,裘格（上海）服饰有限公司,上海莆格贸易有限公司,100%
0,襄垣县万发选煤有限公司,襄垣县诚丰热力有限公司,20%
0,襄垣县矿山机械厂,襄垣县精密铸造厂,100%
0,襄垣县鸿达煤化有限公司,天津渤钢八号企业管理合伙企业（有限合伙）,0.2846%
0,襄樊市丰荣磷化有限公司,保康县荣利矿贸有限公司,65%
0,襄樊九天纺织有限公司,湖北娣创商贸有限公司,100%
0,襄樊楚天化纤有限公司,湖北宜城农村商业银行股份有限公司,1%
0,襄樊市精信催化剂有限公司,襄阳市运远中小企业管理发展有限公司,0.625%
1,襄樊市精信催化剂有限公司,枣阳奕渠网络科技有限公司,45%
0,襄樊市腾达实业公司,襄阳味都健康食品有限责任公司,15%
0,襄樊飞征化工有限公司,湖北谷城农村商业银行股份有限公司,3.33333%
0,襄汾县新兴冶炼有限公司,云纳新能源（临汾）有限公司,5%
0,襄汾县新金山特钢有限公司,山西中联钢融资再担保集团股份有限公司,2.28571%
1,襄汾县新金山特钢有限公司,襄汾县众泰冶炼实业有限公司,100%
2,襄汾县新金山特钢有限公司,山西万邦新晟能源材料科技集团有限公司,50%
0,襄汾县星原钢铁集团有限公司,山西华恒新能源科技有限公司,34%
1,襄汾县星原钢铁集团有限公司,山西星原储运有限公司,100%
0,襄阳京泰汽配有限公司,襄阳市樊城区融丰小额贷款有限责任公司,40%
0,襄阳汽车轴承股份有限公司,襄轴（上海）国际贸易有限公司,51%
1,襄阳汽车轴承股份有限公司,襄阳普瑞斯轴承自动化设备有限公司,50%
2,襄阳汽车轴承股份有限公司,襄阳市新兴发钢丸有限公司,18.33333%
3,襄阳汽车轴承股份有限公司,韶能集团韶关宏大齿轮有限公司,0.11011%
4,襄阳汽车轴承股份有限公司,湖北襄轴进出口有限公司,100%
5,襄阳汽车轴承股份有限公司,襄阳襄轴传动科技有限公司,76.54399%
6,襄阳汽车轴承股份有限公司,中信泰富特钢集团股份有限公司,-
0,西乡县西玛机床有限公司,陕西西乡农村商业银行股份有限公司,0.12331%
0,西京电气总公司,西安创联电气科技（集团）有限责任公司,56.46752%
1,西京电气总公司,陕西宏星电器有限责任公司,17.33887%
2,西京电气总公司,陕西兴园实业有限责任公司,100%
3,西京电气总公司,陕西西京电子科技有限公司,45%
4,西京电气总公司,陕西华经微电子股份有限公司,16.09133%
0,西仪集团有限公司,西安仪表厂驻深圳办事处,100%
1,西仪集团有限公司,西安西仪中德仪表有限公司,35%
2,西仪集团有限公司,西仪股份有限公司,72.24677%
0,西北有色地质二里河铅锌矿,宝鸡市华鼎投资管理有限公司,12.00008%
0,西北机器厂,宝鸡瑞丰置业有限公司,100%
1,西北机器厂,岐山县西机商贸有限公司,47.49705%
2,西北机器厂,西安捷诚精密设备有限公司,54.79675%
3,西北机器厂,陕西鑫盛电工有限公司,55%
4,西北机器厂,西安捷盛电子技术有限责任公司,100%
5,西北机器厂,陕西锐士电子技术有限公司,52.94118%
6,西北机器厂,西安捷锐精密冶金设备有限公司,51%
7,西北机器厂,西安航天恒星医疗设备有限公司,100%
8,西北机器厂,宝鸡市万正工贸有限责任公司,40%
9,西北机器厂,西安普晶半导体设备有限公司,34%
10,西北机器厂,宝鸡市瑞通石油钻采设备制造有限公司,40.56667%
11,西北机器厂,岐山县西机汽车维修服务有限公司,45.45455%
12,西北机器厂,陕西华明普泰医疗设备有限公司,35%
13,西北机器厂,西安赛沃液压技术有限公司,35%
14,西北机器厂,西安泰力松新材料股份有限公司,35.56375%
0,西北轴承股份有限公司,宁夏西北轴承物资商贸有限公司,100%
1,西北轴承股份有限公司,西北轴承有限公司,100%
2,西北轴承股份有限公司,西北轴承机械有限公司,100%
3,西北轴承股份有限公司,西北轴承集团进出口有限公司,100%
4,西北轴承股份有限公司,宁夏西北轴承装备制造有限公司,100%
5,西北轴承股份有限公司,桂林海威船舶电器有限公司,75%
6,西北轴承股份有限公司,中保融金商业保理有限公司,51%
7,西北轴承股份有限公司,宁夏西北轴承销售有限公司,49%
8,西北轴承股份有限公司,新疆宁银西北轴承销售有限公司,45%
9,西北轴承股份有限公司,北京宁银西北轴承销售有限公司,45%
10,西北轴承股份有限公司,佰银金服（天津）有限公司,7.40741%
11,西北轴承股份有限公司,北京智博西北轴承销售有限公司,10%
12,西北轴承股份有限公司,宁夏西轴商都有限公司,40%
0,西南合成制药股份有限公司,上海德同北大医药产业并购股权投资基金管理有限公司,30%
1,西南合成制药股份有限公司,北京北大医疗肿瘤医院管理有限公司,41%
2,西南合成制药股份有限公司,北京北医医药有限公司,100%
3,西南合成制药股份有限公司,上海方正拓康贸易有限公司,100%
0,西南航空食品有限公司,四川二郎山航空饮料食品有限公司,30%
0,西南药业股份有限公司,太极集团四川太极制药有限公司,74.65438%
1,西南药业股份有限公司,重庆星星物业管理有限公司,100%
2,西南药业股份有限公司,重庆西南药业销售有限公司,100%
3,西南药业股份有限公司,太极集团西南药业（成都）有限公司,81.25%
4,西南药业股份有限公司,西南药业（重庆）有限公司,100%
5,西南药业股份有限公司,重庆桐君阁物流配送有限公司,100%
6,西南药业股份有限公司,重庆西部医药商城有限责任公司,47.5%
7,西南药业股份有限公司,海南太极海洋药业有限公司,20%
8,西南药业股份有限公司,重庆桐君阁大药房连锁有限责任公司,45.44706%
0,西南计算机有限公司,中电智能卡有限责任公司,2.32558%
0,西南铝业（集团）有限公司,重庆西南铝机电设备工程有限公司,100%
1,西南铝业（集团）有限公司,重庆西南铝精密加工有限责任公司,100%
2,西南铝业（集团）有限公司,重庆西南铝进出口有限责任公司,100%
3,西南铝业（集团）有限公司,重庆西南铝合金加工研究院有限公司,100%
4,西南铝业（集团）有限公司,重庆西南铝民生实业有限责任公司,100%
5,西南铝业（集团）有限公司,重庆尚江宸置业有限公司,39%
6,西南铝业（集团）有限公司,中铝西南铝板带有限公司,18.55367%
7,西南铝业（集团）有限公司,重庆西铝精密压铸有限责任公司,42.07522%
8,西南铝业（集团）有限公司,中铝物流集团重庆有限公司,49%
0,西和县六巷铅锌矿,西和县三联矿业有限公司,4.18%
0,西子奥的斯电梯有限公司,奥的斯机电电梯（重庆）有限公司,100%
1,西子奥的斯电梯有限公司,奥的斯机电电梯（上海）有限公司,100%
2,西子奥的斯电梯有限公司,奥的斯机电科技有限公司,100%
0,西宁城北福利铁合金厂,青海福鑫硅业有限公司,33.87097%
0,西宁特殊钢集团有限公司,青海润德科创环保科技有限公司,20.8%
1,西宁特殊钢集团有限公司,西宁特殊钢股份有限公司,35.37%
2,西宁特殊钢集团有限公司,青海钢城物业管理有限公司,100%
3,西宁特殊钢集团有限公司,西宁西钢福利有限公司,100%
4,西宁特殊钢集团有限公司,青海西钢自动化信息技术有限公司,100%
5,西宁特殊钢集团有限公司,都兰西钢矿业开发有限公司,100%
6,西宁特殊钢集团有限公司,宝塔实业股份有限公司,-
0,西安下店玉米开发实业有限公司,陕西沣润信达典当有限公司,30%
1,西安下店玉米开发实业有限公司,西安市长安区农村信用合作联社,-
0,西安市东方农牧科技发展有限公司,陕西汽车集团股份有限公司,2.02228%
1,西安市东方农牧科技发展有限公司,陕西共好实业有限公司,80%
2,西安市东方农牧科技发展有限公司,陕西万方汽车销售服务有限公司,51%
0,西安东风仪表厂,西安东仪综合技术实验室有限责任公司,51%
1,西安东风仪表厂,中船重工西安能源科技有限公司,55%
2,西安东风仪表厂,中船重工西安东仪新能源有限责任公司,100%
3,西安东风仪表厂,西安天虹电气有限公司,100%
4,西安东风仪表厂,中船重工（西安）东仪精密测量科技有限公司,100%
5,西安东风仪表厂,中船重工（西安）东仪环保科技有限公司,64%
6,西安东风仪表厂,西安东仪海博机电科技有限责任公司,66.66667%
7,西安东风仪表厂,中船重工西安东仪实业发展有限责任公司,100%
8,西安东风仪表厂,西安船舶工程研究院有限公司,16.36661%
9,西安东风仪表厂,西安海科重工投资有限公司,7.21026%
