企业名称,状态,网址
江苏瑞雪海洋科技有限公司,0,https://www.tianyancha.com/company/234592727
江苏瑰宝集团有限公司,0,https://www.tianyancha.com/company/748573841
江苏生命集团有限公司,1,-
江苏生美工业技术有限公司,0,https://www.tianyancha.com/company/18293975
江苏生辉照明电器有限公司,0,https://www.tianyancha.com/company/2313032909
江苏申久化纤有限公司,0,https://www.tianyancha.com/company/80081777
江苏申新染料化工股份有限公司,0,https://www.tianyancha.com/company/2331292654
江苏申洲毛纺有限公司,0,https://www.tianyancha.com/company/1187035220
江苏申源特钢有限公司,0,https://www.tianyancha.com/company/3194225673
江苏申申服饰有限公司,0,https://www.tianyancha.com/company/2332233046
江苏申迈电机有限公司,0,https://www.tianyancha.com/company/2339913847
江苏省电力公司,0,https://www.tianyancha.com/company/3110484155
江苏白兔纺织集团股份有限公司,0,https://www.tianyancha.com/company/2334924773
江苏白玫糖业有限公司,0,https://www.tianyancha.com/company/2313063335
江苏百天奴服饰有限公司,0,https://www.tianyancha.com/company/2320690679
江苏百成汇服饰有限公司,0,https://www.tianyancha.com/company/2334679468
江苏百新机械制造有限公司,0,https://www.tianyancha.com/company/79624191
江苏百新集团有限公司,0,https://www.tianyancha.com/company/2316335875
江苏百灵农化有限公司,0,https://www.tianyancha.com/company/2332799237
江苏百灵纺织有限公司,0,https://www.tianyancha.com/company/2340841002
江苏百盛时装有限公司,0,https://www.tianyancha.com/company/2349980862
江苏百花实业集团股份有限公司,0,https://www.tianyancha.com/company/2316189423
江苏省百路养殖实业公司,0,https://www.tianyancha.com/company/3137264222
江苏皓月汽车锁股份有限公司,0,https://www.tianyancha.com/company/2344783172
江苏皓月涂料有限公司,0,https://www.tianyancha.com/company/2312456944
江苏盈德气体有限公司,0,https://www.tianyancha.com/company/2319361313
江苏益通印染有限公司,0,https://www.tianyancha.com/company/2349980595
江苏省盐城肉联厂,1,-
江苏盐阜电站阀门辅机制造有限公司,0,https://www.tianyancha.com/company/2335908073
江苏盛丽绒绸印染实业有限公司,0,https://www.tianyancha.com/company/2321252872
江苏真劲纺织有限公司,0,https://www.tianyancha.com/company/2349979360
江苏知民通风设备有限公司,0,https://www.tianyancha.com/company/2339909447
江苏磊达股份有限公司,0,https://www.tianyancha.com/company/1344030006
江苏省社渚农场服装厂,0,https://www.tianyancha.com/company/2349666573
江苏省社渚农场油米厂,1,-
江苏省社渚轴承厂,0,https://www.tianyancha.com/company/80108597
江苏神力医用制品厂,0,https://www.tianyancha.com/company/2325889686
江苏神华药业有限公司,0,https://www.tianyancha.com/company/2316233693
江苏神舟车业集团有限公司,0,https://www.tianyancha.com/company/2311835829
江苏神龙药业有限公司,0,https://www.tianyancha.com/company/2327235682
江苏祥盛倍得满家具有限公司,0,https://www.tianyancha.com/company/2335923363
江苏福兴拉链有限公司,0,https://www.tianyancha.com/company/2338768316
江苏福斯特工艺品集团股份有限公司,1,-
江苏福裕实业有限公司,0,https://www.tianyancha.com/company/2347350168
江苏福邦药业有限公司,0,https://www.tianyancha.com/company/1454041829
江苏秀明服装有限公司,1,-
江苏秋艳集团有限公司,0,https://www.tianyancha.com/company/2316184822
江苏科兴电器有限公司,0,https://www.tianyancha.com/company/2312594363
江苏科凌医疗器械有限公司,0,https://www.tianyancha.com/company/2316353808
江苏科行环境工程技术有限公司,0,https://www.tianyancha.com/company/3147222094
江苏科龙直流电机制造有限公司,1,-
江苏秦圣制鞋实业有限公司,0,https://www.tianyancha.com/company/2346925515
江苏秦龙车灯有限公司,0,https://www.tianyancha.com/company/2349346924
江苏立信纺织有限公司,0,https://www.tianyancha.com/company/80190163
江苏立霸实业股份有限公司,0,https://www.tianyancha.com/company/865062908
江苏省竹箦机械厂,0,https://www.tianyancha.com/company/2320922479
江苏箭鹿毛纺股份有限公司,0,https://www.tianyancha.com/company/534372493
江苏精佳制动器集团有限公司,2,-
江苏精科互感器有限公司,0,https://www.tianyancha.com/company/2321106931
江苏索利得电器有限公司,0,https://www.tianyancha.com/company/2332005198
江苏索普（集团）有限公司,0,https://www.tianyancha.com/company/91888641
江苏紫金电子集团有限公司,0,https://www.tianyancha.com/company/1626800952
江苏红杉树服饰有限公司,0,https://www.tianyancha.com/company/2320289871
江苏红柳床单集团公司,0,https://www.tianyancha.com/company/2312630493
江苏绅贵服饰有限公司,0,https://www.tianyancha.com/company/2318697917
江苏统一马口铁有限公司,0,https://www.tianyancha.com/company/2343938191
江苏维尔电气有限公司,0,https://www.tianyancha.com/company/2316184463
江苏维达机械有限公司,0,https://www.tianyancha.com/company/2332209818
江苏综艺集团,2,-
江苏绿利来股份有限公司,0,https://www.tianyancha.com/company/2320952727
江苏绿叶机械有限公司,0,https://www.tianyancha.com/company/2327044778
江苏绿州米面厂,0,https://www.tianyancha.com/company/3147327368
江苏绿扬电子仪器集团有限公司,1,-
江苏绿洲制衣有限公司,0,https://www.tianyancha.com/company/2313076191
