企业名称,状态,网址
吉林通明电力设备有限公司,1,-
吉林市通达汽车附件制造有限公司,0,https://www.tianyancha.com/company/364237938
吉林道君药业股份有限公司,0,https://www.tianyancha.com/company/254190504
吉林金亚果仁加工有限公司,0,https://www.tianyancha.com/company/397962861
吉林金秋农药有限公司,0,https://www.tianyancha.com/company/360562638
吉林金秋肥业科技有限公司,0,https://www.tianyancha.com/company/594341517
吉林省金辉集团公主岭光电有限公司,1,-
吉林省鑫祥有限公司,0,https://www.tianyancha.com/company/253817374
吉林省银河制药厂,0,https://www.tianyancha.com/company/186669244
吉林市银狮工贸有限公司,1,-
吉林市锦华石油化工有限公司,1,-
吉林长城机械制造有限公司,0,https://www.tianyancha.com/company/388633234
吉林长明水电股份有限公司,0,https://www.tianyancha.com/company/776864435
吉林省长春电器设备有限公司,0,https://www.tianyancha.com/company/742421200
吉林省长春皓月清真肉业股份有限公司,0,https://www.tianyancha.com/company/24214751
吉林省长源药业有限公司,0,https://www.tianyancha.com/company/758517167
吉林长白山包装材料有限公司,0,https://www.tianyancha.com/company/351134478
吉林市长白山木业发展有限公司,2,-
吉林长白山精细化工有限公司,0,https://www.tianyancha.com/company/359878154
吉林长白山药业集团股份有限公司,0,https://www.tianyancha.com/company/348023311
吉林市长荣农副产品有限公司,0,https://www.tianyancha.com/company/371421256
吉林长龙实业有限公司,0,https://www.tianyancha.com/company/2320336366
吉林省阿满食品有限公司,0,https://www.tianyancha.com/company/185690161
吉林省隆源化肥有限公司,0,https://www.tianyancha.com/company/354909619
吉林市雄霸实业有限公司,0,https://www.tianyancha.com/company/785950981
吉林省集安益盛药业股份有限公司,0,https://www.tianyancha.com/company/185263294
吉林省雪花毛巾厂,1,-
吉林省青山伟业制衣有限公司,0,https://www.tianyancha.com/company/404698631
吉林风力发电股份有限公司,0,https://www.tianyancha.com/company/184384500
吉林飞特电站设备制造有限公司,0,https://www.tianyancha.com/company/3070750796
吉林省骏恒车轮有限公司,0,https://www.tianyancha.com/company/183770785
吉林鹿王制药有限公司,1,-
吉林麦达斯铝业有限公司,0,https://www.tianyancha.com/company/182657464
吉林省黄龙增强材料有限公司,0,https://www.tianyancha.com/company/273669334
吉林龙华热电股份有限公司,0,https://www.tianyancha.com/company/213122777
吉林龙山有机硅有限公司,0,https://www.tianyancha.com/company/361221360
吉林市龙成实业有限公司,0,https://www.tianyancha.com/company/4074255211
吉林龙泰制药股份有限公司,0,https://www.tianyancha.com/company/181937119
吉林市龙潭区吉星化工厂,0,https://www.tianyancha.com/company/387684290
吉林市龙潭区松龙助剂厂化工福利厂,0,https://www.tianyancha.com/company/282070906
吉林省龙达铁合金有限公司,0,https://www.tianyancha.com/company/348610950
吉林龙鼎电气股份有限公司,0,https://www.tianyancha.com/company/368053395
吉梯机电（上海）有限公司,0,https://www.tianyancha.com/company/2337161667
吉水县京九实业有限公司,0,https://www.tianyancha.com/company/809190515
吉水县石莲煤矿,1,-
吉水县螺田煤矿,0,https://www.tianyancha.com/company/2335331900
吉水县鹏远劳保用品有限公司,1,-
吉泰安（四川）药业有限公司,0,https://www.tianyancha.com/company/2349759520
吉田建材（深圳）有限公司,0,https://www.tianyancha.com/company/3419324988
吉田建材（苏州）有限公司,0,https://www.tianyancha.com/company/2344818569
吉田拉链（深圳）有限公司,0,https://www.tianyancha.com/company/2346996555
吉百利（中国）食品有限公司,0,https://www.tianyancha.com/company/25631231
吉百利糖果（广州）有限公司,0,https://www.tianyancha.com/company/1636155283
吉铨精密机械（苏州）有限公司,0,https://www.tianyancha.com/company/2351116994
吉首市城市供水总公司,0,https://www.tianyancha.com/company/415657349
吉龙精密磨料（连云港）有限公司,0,https://www.tianyancha.com/company/2352545842
同健（惠阳）电子有限公司,0,https://www.tianyancha.com/company/2349083867
同兴尼龙象胶制品有限公司,2,-
同向兴业机械（深圳）有限公司,0,https://www.tianyancha.com/company/1399991313
同和藤化堂电子能源（烟台）有限公司,1,-
同圣灯饰（惠阳）有限公司,0,https://www.tianyancha.com/company/2317708284
同江市华鹏米业有限公司,0,https://www.tianyancha.com/company/851750002
同江市电业局,0,https://www.tianyancha.com/company/4454835628
同济大学印刷厂,1,-
同维电子（深圳）有限公司,1,-
名全自动化设备（昆山）有限公司,0,https://www.tianyancha.com/company/2349543698
名幸电子（广州南沙）有限公司,0,https://www.tianyancha.com/company/1599798663
名殿电气（上海）有限公司,0,https://www.tianyancha.com/company/1505521903
名硕电脑（苏州）有限公司,0,https://www.tianyancha.com/company/2333280019
名豪木业（惠州）有限公司,0,https://www.tianyancha.com/company/2350560134
名辉家具（珠海）有限公司,0,https://www.tianyancha.com/company/1306931880
名隆家具（嘉善）有限公司,0,https://www.tianyancha.com/company/1362201250
后英集团鞍山活龙矿业有限公司,0,https://www.tianyancha.com/company/805749504
后藤电子（上海）有限公司,0,https://www.tianyancha.com/company/2339496656
吐鲁番市万泉供排水公司,0,https://www.tianyancha.com/company/3426995161
吐鲁番工企矿冶有限公司,0,https://www.tianyancha.com/company/226121875
吐鲁番溢达纺织有限公司,0,https://www.tianyancha.com/company/360908829
吐鲁番市热力公司,1,-
吐鲁番白粮液酒业有限公司,0,https://www.tianyancha.com/company/191817998
吐鲁番金源矿冶有限公司,0,https://www.tianyancha.com/company/194111206
向强橡胶科技（深圳）有限公司,1,-
含山县兴达球墨铸铁厂,0,https://www.tianyancha.com/company/468247463
含山县昭关鹰皇油脂有限公司,0,https://www.tianyancha.com/company/3463344154
含山县油脂有限公司,0,https://www.tianyancha.com/company/430672089
含山县清溪镇天翔铸造厂,0,https://www.tianyancha.com/company/707457797
含山县茂盛胶合板厂,0,https://www.tianyancha.com/company/584747526
启东市万英电器厂,0,https://www.tianyancha.com/company/2350257198
启东市三利化工有限公司,0,https://www.tianyancha.com/company/2351844456
启东东岳药业有限公司,0,https://www.tianyancha.com/company/2350686709
启东市东浦五金有限公司,0,https://www.tianyancha.com/company/2334053379
启东市中达制衣有限公司,0,https://www.tianyancha.com/company/3362664413
启东市久仟文化用品有限公司,0,https://www.tianyancha.com/company/2335859153
启东市久新印染有限公司,0,https://www.tianyancha.com/company/2350256863
启东市人民印刷有限公司,0,https://www.tianyancha.com/company/2350256595
启东市八菱钢丸有限公司,0,https://www.tianyancha.com/company/2339734042
启东市兴昌织造有限公司,0,https://www.tianyancha.com/company/2351290864
启东兴隆园瑞孚铸造有限公司,0,https://www.tianyancha.com/company/2401796589
启东市凌海手套有限公司,1,-
启东市凯尔达电器有限公司,0,https://www.tianyancha.com/company/2337009972
启东市凯捷衬布有限公司,0,https://www.tianyancha.com/company/2331934435
启东市华亚工业配套有限公司,0,https://www.tianyancha.com/company/2321233196
启东市华宇水产品有限公司,0,https://www.tianyancha.com/company/2350251069
启东市华新制衣有限公司,2,-
启东市华泰陶瓷制品有限公司,2,-
启东市华洋海藻有限公司,0,https://www.tianyancha.com/company/509961107
启东市华胜服装辅料有限公司,0,https://www.tianyancha.com/company/2358280556
启东市华鼎服装辅料有限公司,0,https://www.tianyancha.com/company/2349677901
启东市南方润滑液压设备有限公司,0,https://www.tianyancha.com/company/817089299
启东吉莱电子有限公司,0,https://www.tianyancha.com/company/512214792
启东市吕四港镇富华水产加工厂,2,-
启东市吕四粮油制品有限公司,0,https://www.tianyancha.com/company/2331887347
启东市吕四自来水厂,0,https://www.tianyancha.com/company/3146501275
启东启控消声设备有限公司,0,https://www.tianyancha.com/company/2331573502
启东市哲铭液压设备制造有限公司,0,https://www.tianyancha.com/company/2429363932
启东市大洋水产有限公司,0,https://www.tianyancha.com/company/2351842452
启东市大洋港鱼品加工厂,0,https://www.tianyancha.com/company/2345406238
启东市宏威针织有限公司,0,https://www.tianyancha.com/company/2324395783
启东市宏腾针织服饰有限公司,0,https://www.tianyancha.com/company/693524440
启东市宏鑫针织品制造有限公司,0,https://www.tianyancha.com/company/79874981
启东市寅阳球厂有限公司,0,https://www.tianyancha.com/company/2349540791
启东市富利来棉纺针织有限公司,0,https://www.tianyancha.com/company/671993824
启东市富友水产品有限公司,0,https://www.tianyancha.com/company/773447821
启东屹森水产有限公司,0,https://www.tianyancha.com/company/2334589233
启东市巨力电机厂有限公司,2,-
启东市巨风工具有限公司,0,https://www.tianyancha.com/company/2339891169
启东市巨龙阀门有限公司,1,-
启东市希士水泥有限公司,0,https://www.tianyancha.com/company/519259994
启东市康弘服饰有限公司,1,-
启东康联制针有限公司,0,https://www.tianyancha.com/company/2321051038
启东市建国化纤纺织有限公司,0,https://www.tianyancha.com/company/2351370458
启东市恒安防爆通信设备有限公司,0,https://www.tianyancha.com/company/2960589924
启东市新东方玩具有限公司,1,-
启东市新利来制衣有限公司,0,https://www.tianyancha.com/company/2351668236
启东新加源化工有限公司,0,https://www.tianyancha.com/company/3222086622
启东市新浪餐具有限公司,0,https://www.tianyancha.com/company/2351841288
启东新盛电动工具有限公司,0,https://www.tianyancha.com/company/2326637685
启东市旭日服装有限公司,0,https://www.tianyancha.com/company/2312548322
启东昌锦针织服装有限公司,0,https://www.tianyancha.com/company/2338350437
启东市明华织造有限公司,0,https://www.tianyancha.com/company/2313115083
启东市欣德龙制衣有限公司,0,https://www.tianyancha.com/company/2350253966
启东欣捷服装辅料有限公司,1,-
启东市永业机械有限公司,0,https://www.tianyancha.com/company/2325243426
启东市永兴橡胶制品有限公司,2,-
启东市汇利照明有限公司,0,https://www.tianyancha.com/company/2349677961
启东市汇通螺丝厂,0,https://www.tianyancha.com/company/2320576687
启东市江海工艺品有限公司,0,https://www.tianyancha.com/company/2340015484
启东江海液压润滑设备厂,0,https://www.tianyancha.com/company/2351838995
启东市江银丝绒织造有限公司,1,-
启东泰安建材有限公司,0,https://www.tianyancha.com/company/2320348928
启东市海复油脂有限公司,1,-
启东市海神网具织造厂,0,https://www.tianyancha.com/company/2350703664
启东市海鹰冶金机械厂,0,https://www.tianyancha.com/company/2351840427
启东市涂料二厂,0,https://www.tianyancha.com/company/3163192488
启东润滑设备有限公司,0,https://www.tianyancha.com/company/2336871319
启东市潘氏水产有限公司,0,https://www.tianyancha.com/company/2320676145
启东市照明器材厂,0,https://www.tianyancha.com/company/2320691650
启东瑞英服饰有限公司,1,-
启东市生力电动工具厂,0,https://www.tianyancha.com/company/2336671424
启东市生泰针织有限公司,0,https://www.tianyancha.com/company/2350252940
启东市申力高压油泵厂,0,https://www.tianyancha.com/company/858084697
启东市电动工具修造厂,0,https://www.tianyancha.com/company/2352204426
启东市电磁器件厂,0,https://www.tianyancha.com/company/2325045922
启东市福华玻纤隔板有限公司,0,https://www.tianyancha.com/company/250996783
启东市胶鞋厂,0,https://www.tianyancha.com/company/2320881650
启东腾达阀门有限公司,0,https://www.tianyancha.com/company/805588935
启东市自来水厂,0,https://www.tianyancha.com/company/3153658927
启东市莉苑纺织有限公司,0,https://www.tianyancha.com/company/645134860
启东市远中液压机械厂,0,https://www.tianyancha.com/company/2351839645
启东远大阀门有限公司,0,https://www.tianyancha.com/company/2352315783
启东通惠化工有限公司,0,https://www.tianyancha.com/company/2350686026
启东金和食品有限公司,0,https://www.tianyancha.com/company/2335602899
启东市金盛印染有限公司,0,https://www.tianyancha.com/company/2351186646
启东金鱼草陶瓷有限公司,1,-
启东市鑫鑫粘合剂有限公司,0,https://www.tianyancha.com/company/2331287321
启东市银河纺织有限公司,1,-
启东市陆冲水产品加工厂,0,https://www.tianyancha.com/company/2349539016
启东市震宇玩具有限公司,0,https://www.tianyancha.com/company/2333538917
启东青云精细化工有限公司,0,https://www.tianyancha.com/company/644164938
启东风华电声有限公司,0,https://www.tianyancha.com/company/79197066
启东市飞龙香料厂,0,https://www.tianyancha.com/company/3200288055
启东高压油泵有限公司,0,https://www.tianyancha.com/company/2338129852
启东鸿海无纺织物有限公司,0,https://www.tianyancha.com/company/2312456176
启东市鹤城氧化铁有限公司,0,https://www.tianyancha.com/company/3406874778
启东龙生水产制品有限公司,1,-
启兴（博罗）金属制品厂有限公司,0,https://www.tianyancha.com/company/1465175066
启基永昌通讯（昆山）有限公司,0,https://www.tianyancha.com/company/2318149569
启懋五金制品（深圳）有限公司,0,https://www.tianyancha.com/company/2353329048
启洋电机（苏州）有限公司,0,https://www.tianyancha.com/company/2345028692
