,企业名称,被投资企业名称,投资比例
0,上海建华精细生物制品有限公司,上海太平洋药业有限公司,100%
0,上海建筑材料集团水泥有限公司,上海洋山港基混凝土有限公司,2%
1,上海建筑材料集团水泥有限公司,上海象力水泥销售有限公司,100%
2,上海建筑材料集团水泥有限公司,上海申鸥码头装卸有限公司,57.2%
0,上海建设路桥机械设备有限公司,深圳市山宝机械有限公司,10%
1,上海建设路桥机械设备有限公司,上海精裕设备成套工程有限公司,5%
2,上海建设路桥机械设备有限公司,上海破磨机械产品有限公司,51%
0,上海开维喜阀门有限公司,凯文斯流体控制（江苏）有限公司,51%
1,上海开维喜阀门有限公司,上海开维喜化工阀门有限公司,1%
2,上海开维喜阀门有限公司,上海誓德机械设备有限公司,25%
3,上海开维喜阀门有限公司,上海凯雯斯流体设备有限公司,30%
0,上海华夏震旦消防设备有限公司,徐州震旦施密茨消防装备有限公司,100%
0,上海华奥精密模具有限公司,常州华奥精密模具有限公司,100%
0,上海华威焊割机械有限公司,上海华威焊割机械销售有限公司,10%
0,上海华宝纤维制品有限公司,合肥铼宝塑业有限公司,6.25%
0,上海华庆净化设备有限公司,上海三甲鼓风机有限公司,12%
0,上海华庆机械制造有限公司,上海闵行区陈行资产经营有限公司,7.5%
0,上海华建润滑油厂,上海尤昌汽车修理厂,100%
1,上海华建润滑油厂,上海华建润滑油销售有限公司,100%
0,上海华德衡器有限公司,上海华德创见商贸有限公司,20%
0,上海华悦包装制品有限公司,上海华殷包装制品有限公司,100%
1,上海华悦包装制品有限公司,上海隆悦环保科技有限公司,40%
2,上海华悦包装制品有限公司,河南华江环保科技有限公司,51%
3,上海华悦包装制品有限公司,河南省华冠再生资源有限公司,51%
0,上海华新合金有限公司,昌坚华新机器人部件南通有限公司,20%
0,上海华新汽车橡塑制品有限公司,长兴华新汽车橡塑制品有限公司,100%
1,上海华新汽车橡塑制品有限公司,常熟华新汽车零部件有限公司,100%
2,上海华新汽车橡塑制品有限公司,上海汽车空调配件股份有限公司,2.86305%
3,上海华新汽车橡塑制品有限公司,武汉华腾汽车零部件有限公司,100%
0,上海华新生物高技术有限公司,爱芮科（上海）基因技术有限公司,33%
1,上海华新生物高技术有限公司,上海华雁新行医药科技有限公司,100%
0,上海华明电力设备制造有限公司,上海华明高压电气开关制造有限公司,100%
1,上海华明电力设备制造有限公司,上海华明电气开关制造有限公司,100%
2,上海华明电力设备制造有限公司,贵州长征电气有限公司,100%
3,上海华明电力设备制造有限公司,南京力通达电气技术有限公司,20%
4,上海华明电力设备制造有限公司,贵州辰廷电力设备制造有限公司,100%
5,上海华明电力设备制造有限公司,遵义华明电力设备制造有限公司,100%
6,上海华明电力设备制造有限公司,贵州遵义汇川农村商业银行股份有限公司,9.83334%
0,上海奈那卡斯电子配件有限公司,苏州奈那卡斯精密压铸有限公司,70%
0,上海市奉贤设备容器厂,上海勤普设备容器有限公司,20%
1,上海市奉贤设备容器厂,上海再出发设备容器有限公司,100%
0,上海奉贤钢管厂,上海奉贤钢管厂宁波办事处,100%
0,上海奉贤青村混凝土构件厂,上海汇兢建筑有限公司,6.25%
0,上海奉贤食品饮料成套设备总厂,上海奉贤申隆小额贷款股份有限公司,10%
0,上海奥伟金属制品有限公司,上海奥伟冲压件制品有限公司,51%
0,上海威逊机械连接件有限公司,上海乐兆传动科技有限公司,100%
1,上海威逊机械连接件有限公司,上海乐兆传动产品有限公司,75%
2,上海威逊机械连接件有限公司,上海速乐机电工程有限公司,100%
3,上海威逊机械连接件有限公司,上海威逊消防科技有限公司,70%
4,上海威逊机械连接件有限公司,上海津为安防科技有限公司,70%
0,上海宇宙电器有限公司,深圳市合瑞软件有限公司,100%
0,上海宇意机械有限公司,上海捷旋机械有限公司,100%
1,上海宇意机械有限公司,上海宇意燊迪体育发展有限公司,50%
0,上海宇晟密封材料有限公司,上海威固化工制品有限公司,94.81922%
0,上海宇飞金属制品有限公司,上海婺商股权投资基金中心（有限合伙）,5.92%
1,上海宇飞金属制品有限公司,金华汇（上海）投资管理有限公司,4.29185%
0,上海宇高有限公司,威海宇高帽业有限公司,100%
1,上海宇高有限公司,上海高清国际贸易有限公司,100%
0,上海安亭科学仪器厂,上海安亭科学仪器有限公司,80%
1,上海安亭科学仪器厂,上海六泉国际贸易有限公司,100%
2,上海安亭科学仪器厂,上海安亭建筑工程有限公司,10%
0,上海安全印务有限公司,上海集古斋文化艺术有限公司,40%
0,上海安字实业有限公司,上海威若顿机械制造有限公司,100%
1,上海安字实业有限公司,沈阳市安字铆钉有限公司,100%
2,上海安字实业有限公司,广州市安字铆钉有限公司,100%
3,上海安字实业有限公司,上海安青铆钉有限公司,10%
4,上海安字实业有限公司,上海安字铆钉有限公司,2.18927%
5,上海安字实业有限公司,上海异型铆钉厂,100%
6,上海安字实业有限公司,安字汽车紧固件（启东）有限公司,100%
7,上海安字实业有限公司,北京市天云实业股份有限公司,0.10468%
0,上海安珂金属工具有限公司,宝昂国际贸易（上海）有限公司,100%
0,上海安谊车轮有限公司,南京安谊车轮有限公司,51%
1,上海安谊车轮有限公司,江苏谊达汽车部件有限公司,35%
0,上海宏和电子材料有限公司,黄石宏和电子材料科技有限公司,100%
0,上海宏宝汽配有限公司,上海宏宝汽配科技有限公司,60%
1,上海宏宝汽配有限公司,上海莱艾芙电器有限公司,51%
0,上海宏挺机械设备制造有限公司,上海宏挺紧固件制造有限公司,3%
0,上海宏漕混凝土有限公司,上海漕毅建材有限公司,51%
0,上海宏超机械木业有限公司,上海浦东新区融和小额贷款有限公司,10%
1,上海宏超机械木业有限公司,上海腾郡实业有限公司,45%
2,上海宏超机械木业有限公司,上海腾埃实业有限公司,45%
0,上海宏达混凝土有限公司,上海宏诚运输有限公司,100%
0,上海宜华实业有限公司,上海金山宜华小额贷款有限公司,60%
1,上海宜华实业有限公司,湖州西播磨制衣有限公司,100%
0,上海宜晟汽车零部件制造有限公司,宜晟汽车零部件（苏州）有限公司,10%
0,上海宝丰机械制造有限公司,盐城宝丰新能源装备有限公司,100%
0,上海宝井钢材加工配送有限公司,福州宝井钢材有限公司,10%
1,上海宝井钢材加工配送有限公司,杭州宝井钢材加工配送有限公司,28%
2,上海宝井钢材加工配送有限公司,广州花都宝井汽车钢材部件有限公司,26.70002%
3,上海宝井钢材加工配送有限公司,青岛宝井钢材加工配送有限公司,49%
4,上海宝井钢材加工配送有限公司,无锡宝井钢材加工配送有限公司,51%
5,上海宝井钢材加工配送有限公司,重庆宝井钢材加工有限公司,41.07049%
0,上海宝华威热处理设备有限公司,艾普零件制造（苏州）股份有限公司,51%
0,上海宝天机械厂,上海广万实业有限公司,0.8%
0,上海宝太制锁有限公司,智科恒业重型机械股份有限公司,0.26525%
0,上海宝山勤丰手套公司,上海超华服饰有限公司,78.125%
0,上海宇琛扑克实业有限公司,上海姚记扑克销售有限公司,100%
1,上海宇琛扑克实业有限公司,上海芦鸣网络科技有限公司,100%
2,上海宇琛扑克实业有限公司,启东姚记扑克实业有限公司,100%
3,上海宇琛扑克实业有限公司,上海渡鸟翔游网络科技有限公司,100%
4,上海宇琛扑克实业有限公司,上海姚记创业投资管理有限公司,100%
5,上海宇琛扑克实业有限公司,重庆朔通商贸有限公司,100%
6,上海宇琛扑克实业有限公司,上海姚记潮品玩具有限公司,100%
7,上海宇琛扑克实业有限公司,浙江万盛达扑克有限公司,100%
8,上海宇琛扑克实业有限公司,上海姚记印务实业有限公司,100%
9,上海宇琛扑克实业有限公司,上海成蹊信息科技有限公司,100%
10,上海宇琛扑克实业有限公司,大鱼竞技（北京）网络科技有限公司,75%
11,上海宇琛扑克实业有限公司,上海西亭文化传媒有限公司,76.52178%
12,上海宇琛扑克实业有限公司,启东宇琛商贸有限公司,100%
13,上海宇琛扑克实业有限公司,安徽姚记扑克实业有限公司,100%
14,上海宇琛扑克实业有限公司,上海姚记食品贸易有限公司,33%
15,上海宇琛扑克实业有限公司,上海索立泰尔网络科技有限公司,61.09083%
16,上海宇琛扑克实业有限公司,上海奇荔网络科技有限公司,40%
17,上海宇琛扑克实业有限公司,上海柏灵互娱网络科技有限公司,65%
18,上海宇琛扑克实业有限公司,上海璐到粗企业咨询管理有限公司,38.14433%
19,上海宇琛扑克实业有限公司,上海细胞治疗集团有限公司,11.16305%
20,上海宇琛扑克实业有限公司,上海新天民信息科技有限公司,23%
21,上海宇琛扑克实业有限公司,构美（浙江）信息科技有限公司,2.31932%
22,上海宇琛扑克实业有限公司,广东省世融数字科技有限公司,19.5%
23,上海宇琛扑克实业有限公司,上海姚记悠彩网络科技有限公司,25.76891%
0,上海安洋木业有限公司,徐州威程企业管理咨询有限公司,30%
0,上海威逊机械连接件有限公司,上海乐兆传动科技有限公司,100%
1,上海威逊机械连接件有限公司,上海乐兆传动产品有限公司,75%
2,上海威逊机械连接件有限公司,上海速乐机电工程有限公司,100%
3,上海威逊机械连接件有限公司,上海威逊消防科技有限公司,70%
4,上海威逊机械连接件有限公司,上海津为安防科技有限公司,70%
0,上海威逊机械连接件有限公司,上海乐兆传动科技有限公司,100%
1,上海威逊机械连接件有限公司,上海乐兆传动产品有限公司,75%
2,上海威逊机械连接件有限公司,上海速乐机电工程有限公司,100%
3,上海威逊机械连接件有限公司,上海威逊消防科技有限公司,70%
4,上海威逊机械连接件有限公司,上海津为安防科技有限公司,70%
0,上海宇宙电器有限公司,深圳市合瑞软件有限公司,100%
0,上海宇意机械有限公司,上海捷旋机械有限公司,100%
1,上海宇意机械有限公司,上海宇意燊迪体育发展有限公司,50%
0,上海宇晟密封材料有限公司,上海威固化工制品有限公司,94.81922%
0,上海宇飞金属制品有限公司,上海婺商股权投资基金中心（有限合伙）,5.92%
1,上海宇飞金属制品有限公司,金华汇（上海）投资管理有限公司,4.29185%
0,上海宇高有限公司,威海宇高帽业有限公司,100%
1,上海宇高有限公司,上海高清国际贸易有限公司,100%
0,上海安亭科学仪器厂,上海安亭科学仪器有限公司,80%
1,上海安亭科学仪器厂,上海六泉国际贸易有限公司,100%
2,上海安亭科学仪器厂,上海安亭建筑工程有限公司,10%
0,上海安全印务有限公司,上海集古斋文化艺术有限公司,40%
0,上海安字实业有限公司,上海威若顿机械制造有限公司,100%
1,上海安字实业有限公司,沈阳市安字铆钉有限公司,100%
2,上海安字实业有限公司,广州市安字铆钉有限公司,100%
3,上海安字实业有限公司,上海安青铆钉有限公司,10%
4,上海安字实业有限公司,上海安字铆钉有限公司,2.18927%
5,上海安字实业有限公司,上海异型铆钉厂,100%
6,上海安字实业有限公司,安字汽车紧固件（启东）有限公司,100%
7,上海安字实业有限公司,北京市天云实业股份有限公司,0.10468%
0,上海安洋木业有限公司,徐州威程企业管理咨询有限公司,30%
0,上海安谊车轮有限公司,南京安谊车轮有限公司,51%
1,上海安谊车轮有限公司,江苏谊达汽车部件有限公司,35%
0,上海宏和电子材料有限公司,黄石宏和电子材料科技有限公司,100%
0,上海宏宝汽配有限公司,上海宏宝汽配科技有限公司,60%
1,上海宏宝汽配有限公司,上海莱艾芙电器有限公司,51%
0,上海宏挺机械设备制造有限公司,上海宏挺紧固件制造有限公司,3%
0,上海宏漕混凝土有限公司,上海漕毅建材有限公司,51%
0,上海宏超机械木业有限公司,上海浦东新区融和小额贷款有限公司,10%
1,上海宏超机械木业有限公司,上海腾郡实业有限公司,45%
2,上海宏超机械木业有限公司,上海腾埃实业有限公司,45%
0,上海宏达混凝土有限公司,上海宏诚运输有限公司,100%
0,上海宜华实业有限公司,上海金山宜华小额贷款有限公司,60%
1,上海宜华实业有限公司,湖州西播磨制衣有限公司,100%
0,上海宜晟汽车零部件制造有限公司,宜晟汽车零部件（苏州）有限公司,10%
0,上海宝丰机械制造有限公司,盐城宝丰新能源装备有限公司,100%
0,上海宝井钢材加工配送有限公司,福州宝井钢材有限公司,10%
1,上海宝井钢材加工配送有限公司,杭州宝井钢材加工配送有限公司,28%
2,上海宝井钢材加工配送有限公司,广州花都宝井汽车钢材部件有限公司,26.70002%
3,上海宝井钢材加工配送有限公司,青岛宝井钢材加工配送有限公司,49%
4,上海宝井钢材加工配送有限公司,无锡宝井钢材加工配送有限公司,51%
5,上海宝井钢材加工配送有限公司,重庆宝井钢材加工有限公司,41.07049%
0,上海宝华威热处理设备有限公司,艾普零件制造（苏州）股份有限公司,51%
0,上海宝天机械厂,上海广万实业有限公司,0.8%
0,上海宝太制锁有限公司,智科恒业重型机械股份有限公司,0.26525%
0,上海宝山勤丰手套公司,上海超华服饰有限公司,78.125%
0,上海宇琛扑克实业有限公司,上海姚记扑克销售有限公司,100%
1,上海宇琛扑克实业有限公司,上海芦鸣网络科技有限公司,100%
2,上海宇琛扑克实业有限公司,启东姚记扑克实业有限公司,100%
3,上海宇琛扑克实业有限公司,上海渡鸟翔游网络科技有限公司,100%
4,上海宇琛扑克实业有限公司,上海姚记创业投资管理有限公司,100%
5,上海宇琛扑克实业有限公司,重庆朔通商贸有限公司,100%
6,上海宇琛扑克实业有限公司,上海姚记潮品玩具有限公司,100%
7,上海宇琛扑克实业有限公司,浙江万盛达扑克有限公司,100%
8,上海宇琛扑克实业有限公司,上海姚记印务实业有限公司,100%
9,上海宇琛扑克实业有限公司,上海成蹊信息科技有限公司,100%
10,上海宇琛扑克实业有限公司,大鱼竞技（北京）网络科技有限公司,75%
11,上海宇琛扑克实业有限公司,上海西亭文化传媒有限公司,76.52178%
12,上海宇琛扑克实业有限公司,启东宇琛商贸有限公司,100%
13,上海宇琛扑克实业有限公司,安徽姚记扑克实业有限公司,100%
14,上海宇琛扑克实业有限公司,上海姚记食品贸易有限公司,33%
15,上海宇琛扑克实业有限公司,上海索立泰尔网络科技有限公司,61.09083%
16,上海宇琛扑克实业有限公司,上海奇荔网络科技有限公司,40%
17,上海宇琛扑克实业有限公司,上海柏灵互娱网络科技有限公司,65%
18,上海宇琛扑克实业有限公司,上海璐到粗企业咨询管理有限公司,38.14433%
19,上海宇琛扑克实业有限公司,上海细胞治疗集团有限公司,11.16305%
20,上海宇琛扑克实业有限公司,上海新天民信息科技有限公司,23%
21,上海宇琛扑克实业有限公司,构美（浙江）信息科技有限公司,2.31932%
22,上海宇琛扑克实业有限公司,广东省世融数字科技有限公司,19.5%
23,上海宇琛扑克实业有限公司,上海姚记悠彩网络科技有限公司,25.76891%
