企业名称,被投资企业名称,投资比例
ECCO（厦门）有限公司,厦门艾凯物流有限公司,100%
TCL海外电子（惠州）有限公司,深圳前海茂佳软件科技有限公司,100%
TCL海外电子（惠州）有限公司,惠州茂佳科技发展有限公司,100%
TCL海外电子（惠州）有限公司,广州智汇盛科有限公司,100%
TCL空调器（中山）有限公司,广东TCL智能暖通设备有限公司,100%
TCL空调器（中山）有限公司,中山TCL制冷设备有限公司,100%
TCL空调器（中山）有限公司,ＴＣＬ空调器（武汉）有限公司,80%
TCL空调器（中山）有限公司,武汉尚德塑业科技有限公司,30%
TCL空调器（中山）有限公司,广东万颗子智控科技有限公司,100%
TCL空调器（中山）有限公司,瑞智精密机械（惠州）有限公司,7.14061%
TCL空调器（中山）有限公司,ＴＣＬ瑞智（惠州）制冷设备有限公司,22.22009%
TCL空调器（中山）有限公司,惠州酷友网络科技有限公司,10%
TCL空调器（中山）有限公司,宁波梯西埃而德隆方根智能电器有限公司,20%
TCL空调器（中山）有限公司,深圳TCL德龙电子科技有限公司,20%
TCL通力电子（惠州）有限公司,武汉通力路达科技有限公司,100%
TCL通力电子（惠州）有限公司,广西通力电子科技有限公司,100%
TCL通力电子（惠州）有限公司,惠州市路达智能科技有限公司,100%
TCL通力电子（惠州）有限公司,西安TCL软件开发有限公司,100%
TCL通力电子（惠州）有限公司,惠州市通立电子有限公司,100%
TCL通力电子（惠州）有限公司,广东瑞捷光电股份有限公司,19.48052%
UT斯达康通讯有限公司,杭州优斯达科技有限公司,100%
一平浪煤矿,云南能达实业有限公司,100%
一平浪煤矿,云南一平浪注册安全工程师事务所有限公司,100%
一平浪煤矿,云南核应用技术有限公司,19.25683%
一平浪煤矿,曲靖云铝淯鑫铝业有限公司,4.1876%
一汽山东汽车改装厂,芜湖蓬翔重工有限公司,81.83239%
七台河市双叶家具实业有限公司,大连市双叶科技发展有限责任公司,22.4%
七台河市双叶家具实业有限公司,安徽业展智能科技有限公司,30%
七台河市双叶家具实业有限公司,七台河市双叶家具创意设计有限公司,100%
七台河市吉伟煤焦有限公司,七台河市吉伟甲醇有限责任公司,100%
七台河市美华焦化有限公司,吉林金钢钢铁股份有限公司,-
七台河市隆鹏煤炭发展有限公司,七台河市东泰矿业有限责任公司,100%
七台河市隆鹏煤炭发展有限公司,七台河隆鹏甲醇有限责任公司,100%
七台河市隆鹏煤炭发展有限公司,七台河市隆鹏物流有限责任公司,100%
七台河市隆鹏煤炭发展有限公司,七台河三聚隆鹏新能源有限责任公司,100%
七台河市隆鹏煤炭发展有限公司,龙江银行股份有限公司,0.41921%
七台河市鹿山优质煤有限公司,七台河鹿山北兴选煤股份有限公司,70%
七台河市鹿山优质煤有限公司,七台河市鸿福矿业咨询有限责任公司,60%
七台河市鹿山优质煤有限公司,黑龙江鹿山紫顶新能科技有限公司,95%
七台河市鹿山优质煤有限公司,华海财产保险股份有限公司,10%
七台河市鹿山优质煤有限公司,七台河市鹿源测绘有限责任公司,100%
万丰奥特控股集团有限公司,浙江万家丰农业科技股份有限公司,80%
万丰奥特控股集团有限公司,浙江万丰实业有限公司,51.02481%
万丰奥特控股集团有限公司,万丰航空工业有限公司,100%
万丰奥特控股集团有限公司,新昌县驰通智能装备有限公司,100%
万丰奥特控股集团有限公司,浙江万丰置业有限公司,100%
万丰奥特控股集团有限公司,新昌誉丰新动力有限公司,100%
万丰奥特控股集团有限公司,绍兴万丰融资担保有限公司,100%
万丰奥特控股集团有限公司,新昌和扬企业管理咨询有限公司,100%
万丰奥特控股集团有限公司,浙江民营企业联合投资股份有限公司,10%
万丰奥特控股集团有限公司,浙江新昌浦发村镇银行股份有限公司,10%
万丰奥特控股集团有限公司,品香源（上海）农业科技发展有限公司,37.76253%
万丰奥特控股集团有限公司,浙江万丰奥威汽轮股份有限公司,33.37%
万丰奥特控股集团有限公司,绍兴万丰越商产业并购基金合伙企业（有限合伙）,34%
万丰奥特控股集团有限公司,台州杭绍台高铁投资管理合伙企业（有限合伙）,2.17742%
万丰奥特控股集团有限公司,杭州浙民投天弘投资合伙企业（有限合伙）,9.7934%
万丰奥特控股集团有限公司,浙江产权交易所有限公司,2.85714%
万事达集团有限公司,浙江万事达进出口贸易有限公司,51%
万事达集团有限公司,永康市尼克亚工业产品设计有限公司,78%
万事达集团有限公司,永康市尼克亚商贸有限公司,75%
万事达集团有限公司,浙江鑫贡黄金饰品有限公司,72%
万佳（珠海）磁性材料科技有限公司,珠海万佳威绿能科技有限公司,100%
万兴（佛冈）玩具有限公司,佛冈县百利达小额贷款有限公司,60%
万兴（佛冈）玩具有限公司,佛冈万兴进达玩具有限公司,10%
